"ID","Key","Value"
"id-09f3d31e607b474fa5dc5118b79e1321","Directed","false"
"id-a917000fe7694d768517d7eabcb82358","Protocol","SSH"
"id-e63450100dbc4a7085390c1937d9fb4f","Directed","false"
"id-6b5fe75b3f9f4699a40035880951edd7","Access_Type","Write"
"id-6be564305c1d4f77a6e13ce288fc66e2","Access_Type","Write"
"id-efd3164e09a64a7a99b55262e46de962","Access_Type","Write"
"id-a69b3f450ec540458cbeed008aaf8484","Auth","OIDC"
"id-9ef48118e7814592a3f8dd39eee1b6e9","Access_Type","Write"
"id-a08565c1003e42f08a45f7e4a9b1735e","Access_Type","Write"
"id-46d140785b674e0799fc941900a2a7e9","Access_Type","Write"
"id-d8e00410776b4b459153bedb8615d4c3","Access_Type","Write"
"id-84a557d918154d28ab142c02cda1f90b","Access_Type","Write"
"id-63ff66604f8d4b7cb5d82842abaec4ab","Access_Type","Read"
"id-1cba2cb6c59c4d7dabf7251d7aa66d9a","Access_Type","Read"
"id-fb15a32d8ca34ed3ae1fc6cfdbf3fd7c","Access_Type","Read"
"id-010bdab4ba0e4cb0b4d44efd0f11729e","Access_Type","Write"
"id-a2af5a5aeabf44ebb788b382cea5a4de","Access_Type","Write"
"id-45e15d004a394525a85f7bbbeedc7508","Access_Type","Write"
"id-f8a3b7c7c4ac47bab24ef899a4a74f36","Access_Type","Write"
"id-37b93569228049e6b5f7e0b1320ac59d","Access_Type","Write"
"id-ba1db3df6eeb4d7b9911b3834dc62340","Access_Type","Write"
"id-a1b86c5157f84698a521ed7e86e2286a","Access_Type","Write"
"id-20aff35e4f9c46ee9881bd4c0e6effac","Access_Type","Write"
"id-859979e9b51b48a5a874ef301d4cdd43","Access_Type","Write"
"id-80872bf481f3459a8a265fc6a220580f","Access_Type","Write"
"id-2f30ddd85bcd4b2ab206d4d3c4193c00","Access_Type","Write"
"id-28a17338f7b648708c788a85f7b868cf","Access_Type","Write"
"id-7c3a172d8f3e49b4b0bc3e960938ea87","Access_Type","Read"
"id-70098010262046ea8cea56491e9971fe","Access_Type","Read"
"id-d4cc9f40ce904bc885922ceff1b16894","Access_Type","Read"
"id-53651b5b2af4459c87e58ae91056f7e5","Access_Type","Write"
"id-37a04bbbf8e8483d91711dba01c5e754","Access_Type","Write"
"id-3c4b68b82f5f4fad9d901f6e040d56c6","Access_Type","Write"
"id-dd594620bdd94479a764beae952dd95a","Access_Type","Write"
"id-0e9773b9b47140a49aadee230da4f9a5","Access_Type","Write"
"id-324980525a154385ad692136cd62a6e1","Access_Type","Write"
