"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-6b5fe75b3f9f4699a40035880951edd7","AccessRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-0e91bed3aaf74ef7950a41503cb96d11",""
"id-6be564305c1d4f77a6e13ce288fc66e2","AccessRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-c1181b166d2e4cc98be66e84d71a7955",""
"id-efd3164e09a64a7a99b55262e46de962","AccessRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-fd39ff8e80d3463eb514f35ab5bc3886",""
"id-9ef48118e7814592a3f8dd39eee1b6e9","AccessRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-bf0c67dc033d48388703130ed7443a47",""
"id-a08565c1003e42f08a45f7e4a9b1735e","AccessRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-6f1721f5156d41c8ac96f30ded6faad7",""
"id-46d140785b674e0799fc941900a2a7e9","AccessRelationship","","","id-e86f17f33b0a4e5c90cd0a662d88d932","id-ce4c1903d79347fb87c8ea46d71bd9a0",""
"id-d8e00410776b4b459153bedb8615d4c3","AccessRelationship","","","id-8c34df3a2c3c4fc09fe93924f031c8eb","id-865be743e0324338b5893be782da2854",""
"id-84a557d918154d28ab142c02cda1f90b","AccessRelationship","","","id-4ab3aaa96a6041558363ceb2c1cee4c9","id-865be743e0324338b5893be782da2854",""
"id-63ff66604f8d4b7cb5d82842abaec4ab","AccessRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-fd39ff8e80d3463eb514f35ab5bc3886",""
"id-1cba2cb6c59c4d7dabf7251d7aa66d9a","AccessRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-c1181b166d2e4cc98be66e84d71a7955",""
"id-fb15a32d8ca34ed3ae1fc6cfdbf3fd7c","AccessRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-0e91bed3aaf74ef7950a41503cb96d11",""
"id-010bdab4ba0e4cb0b4d44efd0f11729e","AccessRelationship","","","id-a6211cc9d2c242cc8c6fc9cd802167f5","id-ce4c1903d79347fb87c8ea46d71bd9a0",""
"id-a2af5a5aeabf44ebb788b382cea5a4de","AccessRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-bf0c67dc033d48388703130ed7443a47",""
"id-45e15d004a394525a85f7bbbeedc7508","AccessRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-6f1721f5156d41c8ac96f30ded6faad7",""
"id-f8a3b7c7c4ac47bab24ef899a4a74f36","AccessRelationship","","","id-07ed34fe2698410db8c86f7591104c00","id-2d7aba91f9784765a9dee332b8c38f17",""
